# t_ms,rssi,name label=busy_60_120 window=60000 interval=120000
292,-44,Badge2024lijn
517,-48,Tarpon 41b
803,-46,Badge2024lijn
2572,-49,Tarpon 41b
3078,-81,Tarpon 41b
4092,-48,Tarpon 41b
4102,-44,Badge2024lijn
4597,-47,Tarpon 41b
4613,-44,Badge2024lijn
5101,-50,Tarpon 41b
6139,-46,Badge2024lijn
6631,-44,Badge2024lijn
6633,-49,Tarpon 41b
8097,-82,Badge2024lijn
8175,-47,Tarpon 41b
8677,-49,Tarpon 41b
9111,-44,Badge2024lijn
9616,-44,Badge2024lijn
11140,-46,Badge2024lijn
11260,-48,Tarpon 41b
11774,-47,Tarpon 41b
13311,-49,Tarpon 41b
13708,-46,Badge2024lijn
14737,-79,Badge2024lijn
14845,-49,Tarpon 41b
15259,-80,Badge2024lijn
15351,-47,Tarpon 41b
16875,-49,Tarpon 41b
17013,-44,Badge2024lijn
17516,-44,Badge2024lijn
19047,-46,Badge2024lijn
19186,-49,Tarpon 41b
19548,-44,Badge2024lijn
21075,-80,Badge2024lijn
21222,-50,Tarpon 41b
22618,-46,Badge2024lijn
22741,-83,Tarpon 41b
23285,-46,Tarpon 41b
24268,-46,Tarpon 41b
24792,-80,Tarpon 41b
26308,-49,Tarpon 41b
26419,-44,Badge2024lijn
26819,-47,Tarpon 41b
26944,-46,Badge2024lijn
28450,-44,Badge2024lijn
28965,-44,Badge2024lijn
30490,-46,Badge2024lijn
30620,-49,Tarpon 41b
31008,-44,Badge2024lijn
31154,-47,Tarpon 41b
32026,-44,Badge2024lijn
32161,-46,Tarpon 41b
32670,-49,Tarpon 41b
34200,-49,Tarpon 41b
34317,-45,Badge2024lijn
35734,-47,Tarpon 41b
36248,-49,Tarpon 41b
36370,-44,Badge2024lijn
37771,-49,Tarpon 41b
38280,-47,Tarpon 41b
39328,-44,Badge2024lijn
39811,-49,Tarpon 41b
39841,-46,Badge2024lijn
40865,-46,Badge2024lijn
41349,-49,Tarpon 41b
41381,-44,Badge2024lijn
42101,-47,Tarpon 41b
42898,-44,Badge2024lijn
43406,-46,Badge2024lijn
48753,-49,Tarpon 41b
48753,-46,Badge2024lijn
49258,-49,Tarpon 41b
49259,-44,Badge2024lijn
50796,-82,Tarpon 41b
50796,-44,Badge2024lijn
51304,-50,Tarpon 41b
52333,-46,Badge2024lijn
52335,-49,Tarpon 41b
52843,-82,Tarpon 41b
52843,-44,Badge2024lijn
54374,-44,Badge2024lijn
54374,-47,Tarpon 41b
54884,-46,Badge2024lijn
54884,-50,Tarpon 41b
55902,-50,Tarpon 41b
56410,-44,Badge2024lijn
56411,-49,Tarpon 41b
57941,-47,Tarpon 41b
57943,-44,Badge2024lijn
58444,-49,Tarpon 41b
58457,-46,Badge2024lijn
59489,-46,Badge2024lijn
