# t_ms,rssi,name label=idle_60_120 window=60000 interval=120000
62,-79,Tarpon 41b
182,-44,Badge2024lijn
1720,-44,Badge2024lijn
2346,-49,Tarpon 41b
3256,-46,Badge2024lijn
3506,-44,Badge2024lijn
3610,-49,Tarpon 41b
3778,-44,Badge2024lijn
3859,-47,Tarpon 41b
4112,-48,Tarpon 41b
5040,-46,Badge2024lijn
5298,-44,Badge2024lijn
5551,-81,Badge2024lijn
5636,-46,Tarpon 41b
5890,-49,Tarpon 41b
6162,-49,Tarpon 41b
6832,-46,Badge2024lijn
7105,-44,Badge2024lijn
7338,-44,Badge2024lijn
7417,-46,Tarpon 41b
7594,-83,Badge2024lijn
7674,-49,Tarpon 41b
7930,-49,Tarpon 41b
8193,-47,Tarpon 41b
8613,-46,Badge2024lijn
8870,-82,Badge2024lijn
9128,-81,Badge2024lijn
9463,-49,Tarpon 41b
9971,-47,Tarpon 41b
10905,-44,Badge2024lijn
11240,-48,Tarpon 41b
11432,-44,Badge2024lijn
11496,-49,Tarpon 41b
11754,-47,Tarpon 41b
11999,-81,Tarpon 41b
12955,-46,Badge2024lijn
13269,-49,Tarpon 41b
13526,-46,Tarpon 41b
13779,-81,Tarpon 41b
14032,-49,Tarpon 41b
14476,-44,Badge2024lijn
15029,-44,Badge2024lijn
15810,-49,Tarpon 41b
16357,-81,Badge2024lijn
16519,-46,Badge2024lijn
16773,-81,Badge2024lijn
17021,-81,Badge2024lijn
17581,-49,Tarpon 41b
17842,-81,Tarpon 41b
18050,-82,Badge2024lijn
18094,-48,Tarpon 41b
18304,-46,Badge2024lijn
18558,-44,Badge2024lijn
18815,-44,Badge2024lijn
19367,-49,Tarpon 41b
19615,-47,Tarpon 41b
19839,-44,Badge2024lijn
19873,-48,Tarpon 41b
20108,-46,Badge2024lijn
20128,-49,Tarpon 41b
20353,-80,Badge2024lijn
20604,-44,Badge2024lijn
21648,-48,Tarpon 41b
21872,-45,Badge2024lijn
21915,-49,Tarpon 41b
22374,-44,Badge2024lijn
23909,-44,Badge2024lijn
23947,-46,Tarpon 41b
24419,-46,Badge2024lijn
24966,-46,Tarpon 41b
25733,-46,Tarpon 41b
25941,-44,Badge2024lijn
26448,-44,Badge2024lijn
27026,-48,Tarpon 41b
27254,-49,Tarpon 41b
27509,-46,Tarpon 41b
27644,-46,Badge2024lijn
27760,-81,Tarpon 41b
27895,-82,Badge2024lijn
28791,-48,Tarpon 41b
28906,-44,Badge2024lijn
29051,-49,Tarpon 41b
29173,-44,Badge2024lijn
29316,-47,Tarpon 41b
29415,-46,Badge2024lijn
29673,-44,Badge2024lijn
30582,-81,Tarpon 41b
30836,-49,Tarpon 41b
30942,-44,Badge2024lijn
31108,-47,Tarpon 41b
31197,-46,Badge2024lijn
31346,-48,Tarpon 41b
31445,-44,Badge2024lijn
31676,-81,Tarpon 41b
31703,-81,Badge2024lijn
32082,-82,Tarpon 41b
32160,-46,Tarpon 41b
32418,-48,Tarpon 41b
32972,-46,Badge2024lijn
33224,-44,Badge2024lijn
33487,-44,Badge2024lijn
33934,-47,Tarpon 41b
34443,-49,Tarpon 41b
35260,-44,Badge2024lijn
35963,-48,Tarpon 41b
36220,-49,Tarpon 41b
36496,-47,Tarpon 41b
36718,-48,Tarpon 41b
37038,-44,Badge2024lijn
37302,-46,Badge2024lijn
37555,-82,Badge2024lijn
37992,-49,Tarpon 41b
38245,-83,Tarpon 41b
38504,-49,Tarpon 41b
38582,-44,Badge2024lijn
38833,-44,Badge2024lijn
39086,-46,Badge2024lijn
39775,-49,Tarpon 41b
40040,-46,Tarpon 41b
40293,-48,Tarpon 41b
40390,-44,Badge2024lijn
40621,-44,Badge2024lijn
40875,-46,Badge2024lijn
41131,-44,Badge2024lijn
41321,-49,Tarpon 41b
41579,-80,Tarpon 41b
41829,-47,Tarpon 41b
42081,-49,Tarpon 41b
42408,-44,Badge2024lijn
42660,-79,Badge2024lijn
42911,-44,Badge2024lijn
43166,-44,Badge2024lijn
43359,-49,Tarpon 41b
43616,-47,Tarpon 41b
43868,-48,Tarpon 41b
44184,-44,Badge2024lijn
44441,-46,Badge2024lijn
44711,-44,Badge2024lijn
44948,-44,Badge2024lijn
45430,-82,Tarpon 41b
45662,-49,Tarpon 41b
46737,-44,Badge2024lijn
46946,-49,Tarpon 41b
47211,-46,Tarpon 41b
47460,-48,Tarpon 41b
48272,-44,Badge2024lijn
48492,-49,Tarpon 41b
48526,-44,Badge2024lijn
48742,-79,Tarpon 41b
49001,-82,Tarpon 41b
49267,-48,Tarpon 41b
49805,-46,Badge2024lijn
50543,-49,Tarpon 41b
50790,-47,Tarpon 41b
51042,-80,Tarpon 41b
51609,-46,Badge2024lijn
51834,-44,Badge2024lijn
52103,-48,Tarpon 41b
52103,-44,Badge2024lijn
52330,-49,Tarpon 41b
52337,-46,Badge2024lijn
52597,-46,Tarpon 41b
53858,-44,Badge2024lijn
53864,-48,Tarpon 41b
54131,-46,Badge2024lijn
54131,-49,Tarpon 41b
54368,-81,Tarpon 41b
54371,-44,Badge2024lijn
54619,-81,Tarpon 41b
55655,-44,Badge2024lijn
55899,-49,Tarpon 41b
55912,-46,Badge2024lijn
56173,-46,Tarpon 41b
56173,-44,Badge2024lijn
56421,-44,Badge2024lijn
57683,-46,Badge2024lijn
57690,-49,Tarpon 41b
58192,-49,Tarpon 41b
58461,-49,Tarpon 41b
59126,-79,Badge2024lijn
59466,-49,Tarpon 41b
