# t_ms,rssi,name label=off_60_120 window=60000 interval=120000
-120,-44,Badge2024lijn
554,-48,Tarpon 41b
1061,-46,Tarpon 41b
1167,-46,Badge2024lijn
1417,-44,Badge2024lijn
1667,-44,Badge2024lijn
1919,-82,Badge2024lijn
2595,-49,Tarpon 41b
3106,-49,Tarpon 41b
3181,-44,Badge2024lijn
3448,-44,Badge2024lijn
3692,-46,Badge2024lijn
4662,-46,Tarpon 41b
4888,-82,Tarpon 41b
4983,-44,Badge2024lijn
5148,-80,Tarpon 41b
5235,-44,Badge2024lijn
5494,-46,Badge2024lijn
6416,-47,Tarpon 41b
6677,-49,Tarpon 41b
6764,-44,Badge2024lijn
6922,-49,Tarpon 41b
7018,-44,Badge2024lijn
7176,-47,Tarpon 41b
7286,-46,Badge2024lijn
8192,-46,Tarpon 41b
8451,-48,Tarpon 41b
8736,-49,Tarpon 41b
8797,-44,Badge2024lijn
8964,-46,Tarpon 41b
9057,-46,Badge2024lijn
9320,-44,Badge2024lijn
10239,-48,Tarpon 41b
10494,-49,Tarpon 41b
10600,-44,Badge2024lijn
10753,-47,Tarpon 41b
10849,-46,Badge2024lijn
11100,-44,Badge2024lijn
11379,-44,Badge2024lijn
12059,-81,Tarpon 41b
12287,-49,Tarpon 41b
12379,-44,Badge2024lijn
12530,-46,Tarpon 41b
12641,-46,Badge2024lijn
12890,-44,Badge2024lijn
14042,-49,Tarpon 41b
14210,-44,Badge2024lijn
14290,-46,Tarpon 41b
14422,-46,Badge2024lijn
14541,-48,Tarpon 41b
14679,-44,Badge2024lijn
14796,-49,Tarpon 41b
14929,-81,Badge2024lijn
15953,-44,Badge2024lijn
16080,-47,Tarpon 41b
16220,-46,Badge2024lijn
16341,-48,Tarpon 41b
16472,-44,Badge2024lijn
16603,-49,Tarpon 41b
17629,-49,Tarpon 41b
17771,-81,Badge2024lijn
17882,-46,Tarpon 41b
18006,-46,Badge2024lijn
18141,-48,Tarpon 41b
18826,-81,Badge2024lijn
19079,-46,Badge2024lijn
