# t_ms,rssi target=<all>
253,-82
288,-95
763,-87
1015,-92
1563,-97
2032,-69
2082,-94
2282,-77
2539,-79
2784,-78
3047,-83
3613,-95
5257,-69
5257,-71
6361,-58
6612,-62
8407,-79
9679,-49
9932,-79
10188,-45
10441,-79
11711,-42
11963,-41
12228,-39
13996,-55
14499,-55
15771,-71
16287,-75
18063,-85
21883,-86
23930,-89
24156,-92
27760,-93
30601,-90
40013,-93
40518,-92
41552,-94
43598,-91
44097,-93
47925,-93
49457,-95
51503,-90
52312,-97
52772,-84
53283,-81
53543,-82
54805,-81
55065,-77
55571,-83
56590,-81
56881,-95
57098,-79
57622,-75
58625,-78
59151,-78
59935,-76
59943,-95
60188,-74
60204,-97
60435,-78
60690,-77
61739,-92
61968,-77
61986,-92
62225,-77
62476,-79
62730,-76
63762,-81
63780,-92
64269,-89
65825,-81
67344,-85
67872,-78
69380,-95
69387,-82
69636,-77
69884,-81
69891,-92
71161,-78
71667,-76
71674,-90
71920,-78
73206,-78
73223,-94
73457,-70
73723,-74
74987,-78
75247,-83
75498,-68
76524,-70
76779,-74
77286,-70
77460,-86
78556,-67
78815,-74
78934,-95
79315,-68
79482,-92
80582,-58
80861,-52
81032,-92
81090,-80
81347,-58
82617,-56
83116,-63
86684,-62
88120,-56
88121,-59
88121,-64
88462,-81
88966,-68
89490,-61
90457,-80
90787,-56
91806,-64
92064,-67
92312,-66
92566,-65
94107,-51
94358,-52
95628,-82
95888,-50
96152,-56
97663,-50
98422,-51
99695,-56
100663,-100
101736,-54
103800,-49
104830,-50
105076,-57
105330,-53
106870,-55
108641,-53
109156,-60
110438,-60
110691,-53
111198,-51
112224,-56
112480,-52
112989,-54
112990,-97
114007,-54
114090,-98
114256,-55
114338,-96
114513,-56
114769,-54
116043,-82
116298,-55
117851,-55
120112,-56
120360,-81
120618,-57
122148,-84
122406,-85
122655,-83
123676,-88
124189,-88
126234,-92
130866,-94
143041,-92
158092,-95
160143,-94
167517,-91
168891,-91
169049,-88
171597,-95
173380,-87
180283,-81
180530,-82
180793,-89
182065,-82
182319,-89
183851,-84
184106,-77
185887,-95
186153,-89
186403,-82
189464,-81
189715,-87
190219,-80
193037,-80
193294,-82
193547,-90
193757,-93
193805,-89
194825,-86
195337,-81
195597,-78
196876,-86
197385,-80
198654,-92
198904,-83
199163,-77
200578,-95
200692,-76
200952,-86
201222,-77
202228,-83
202745,-78
204270,-77
204776,-78
206046,-69
206302,-76
206561,-70
206813,-77
207847,-69
209879,-71
210643,-70
211655,-67
212176,-68
212455,-70
213467,-68
213728,-78
215504,-68
215749,-69
216004,-66
217283,-74
217539,-77
217804,-73
219084,-73
219332,-70
220751,-72
220751,-70
220869,-68
221127,-65
221382,-66
222408,-64
222661,-72
222915,-71
223172,-66
224454,-83
224713,-92
226242,-81
231726,-94
231726,-70
231726,-73
231726,-95
231726,-75
232090,-71
232343,-73
232601,-77
233625,-72
233880,-72
234382,-75
