# t_ms,rssi target=<all>
52,-95
364,-83
627,-77
872,-92
1124,-90
1588,-92
1841,-92
4435,-92
8005,-88
21252,-95
23296,-89
25836,-93
35816,-86
37108,-90
38107,-87
38363,-89
38613,-84
39195,-95
39454,-95
40401,-83
40981,-94
41244,-95
41433,-86
41939,-84
42204,-85
43474,-89
45759,-89
48387,-91
51365,-87
53173,-86
56476,-81
56740,-75
56993,-84
58266,-69
58517,-76
58768,-92
59028,-68
60050,-66
61058,-59
62351,-56
62674,-53
62844,-57
64123,-57
64634,-80
65903,-58
66164,-54
66672,-63
67705,-57
67958,-54
68243,-58
69498,-57
69997,-58
70255,-57
71274,-57
71530,-54
71774,-82
73315,-54
73567,-58
75855,-82
77129,-58
77646,-54
79173,-57
79434,-60
80977,-55
82519,-57
82750,-55
83004,-56
83259,-57
84317,-56
84801,-79
86075,-56
86327,-55
86583,-56
86844,-65
87864,-56
88125,-55
88376,-81
88634,-56
89904,-55
90160,-56
90620,-55
91991,-56
92406,-55
92668,-56
93177,-62
94206,-60
94444,-64
94957,-82
96235,-56
96489,-57
96741,-61
96991,-56
98256,-57
98509,-56
98767,-55
99019,-53
100043,-59
100299,-71
100552,-77
100675,-90
100807,-74
102083,-80
102340,-78
102438,-85
102944,-87
103198,-93
104133,-76
104634,-84
106171,-79
109486,-85
109986,-87
110089,-91
110335,-93
110594,-94
111526,-86
111781,-93
111864,-87
113055,-83
113904,-94
115340,-91
117633,-95
117866,-97
120460,-92
124034,-95
142924,-95
144228,-86
144716,-91
144978,-87
146253,-92
146768,-85
148044,-97
149871,-82
150540,-91
150797,-86
152587,-85
152843,-84
154633,-92
154889,-81
156434,-95
156434,-81
158445,-82
159978,-77
160231,-93
161768,-71
162283,-71
163561,-78
165608,-72
168920,-90
171517,-83
171950,-90
175511,-82
177067,-80
177553,-83
177770,-94
179082,-70
179593,-74
179806,-94
180867,-84
181129,-74
181380,-83
184699,-68
185209,-66
186242,-56
186494,-81
186748,-61
187003,-78
187712,-92
188277,-80
188532,-81
188816,-82
190064,-87
191016,-88
192099,-90
192604,-83
192801,-91
193057,-94
194128,-86
194389,-85
194853,-98
195662,-90
195919,-85
