# t_ms,rssi target=<all> walk=1
367,-89
627,-94
1109,-96
4440,-98
15418,-92
17480,-92
18505,-96
19002,-87
20528,-92
22193,-92
22451,-92
26047,-88
27577,-95
28084,-91
29875,-85
31154,-83
31673,-86
32111,-97
33216,-82
33445,-90
33699,-85
34962,-86
35475,-87
35689,-94
37471,-94
38236,-91
39038,-88
39281,-85
39779,-96
39787,-95
40821,-79
42853,-78
43993,-84
45401,-83
46931,-78
47433,-81
48692,-73
49199,-72
49449,-75
49699,-80
50733,-72
52274,-54
52776,-54
53279,-57
54814,-54
56356,-59
56869,-56
58399,-54
63742,-54
64259,-81
65783,-56
66294,-54
67316,-54
67825,-51
68083,-59
69356,-81
71906,-80
73691,-81
75221,-54
76746,-52
77256,-80
77765,-54
78779,-55
79300,-52
80827,-56
82865,-76
83323,-91
83839,-90
84907,-91
85158,-74
86432,-79
86681,-77
86899,-94
87186,-85
87401,-89
88214,-91
89164,-85
89418,-88
89678,-92
90267,-87
90514,-88
92059,-85
92310,-90
92987,-86
93497,-88
93594,-89
93747,-91
93849,-88
94105,-95
95644,-90
97433,-95
99477,-98
103170,-93
104811,-94
114514,-92
117816,-89
118323,-85
119848,-94
120358,-89
124671,-85
125689,-88
125945,-84
126218,-84
127739,-85
128248,-82
129598,-93
129769,-88
130278,-79
133586,-88
135634,-81
136449,-96
137171,-81
138706,-73
139221,-70
140760,-74
142569,-73
147922,-91
149707,-86
149957,-86
151490,-86
155060,-84
157107,-88
158646,-88
161195,-86
166542,-88
168078,-90
170631,-89
176474,-85
178507,-82
179531,-87
