# t_ms,rssi target=Badge walk=2
-2765,-68
-2508,-68
-2186,-72
-1937,-70
-1677,-65
-1425,-75
120,-66
365,-56
629,-80
1207,-73
1467,-62
1728,-59
1999,-59
2242,-60
3482,-54
3731,-55
4574,-63
4829,-73
5087,-71
5338,-63
6854,-61
6975,-60
7233,-53
7491,-66
7795,-61
9032,-80
9792,-70
10046,-73
10129,-79
10397,-69
12416,-78
12937,-73
13260,-70
13509,-81
15555,-74
16386,-71
16895,-72
18429,-68
18684,-75
19195,-77
19522,-69
19769,-69
21304,-66
21548,-68
22946,-77
25871,-57
27344,-75
27618,-60
27855,-52
28121,-59
29190,-82
30217,-60
30470,-57
30726,-57
30985,-57
32055,-62
32325,-63
32600,-76
34086,-64
34599,-61
35185,-60
35440,-60
35698,-60
35947,-68
37218,-61
37476,-66
37850,-67
37986,-65
38243,-64
38345,-58
38596,-60
40130,-63
41471,-63
41723,-67
41973,-53
43505,-57
44017,-66
44601,-61
44856,-63
46394,-53
46643,-69
47150,-56
47795,-64
49033,-63
49795,-57
50820,-66
51934,-71
52185,-66
52443,-53
53964,-61
54552,-63
54806,-61
55065,-65
55562,-77
56839,-61
58501,-56
61932,-50
62186,-52
62463,-53
63984,-50
64229,-53
64478,-64
64734,-57
64986,-59
66269,-68
66524,-62
66865,-61
67041,-80
67290,-58
67546,-61
67795,-69
69080,-63
69334,-67
69593,-68
69852,-66
71624,-73
71879,-72
72129,-73
73919,-73
74181,-75
76209,-77
76734,-73
77098,-77
78503,-81
78759,-78
79014,-75
79273,-86
80810,-75
81060,-75
81318,-68
82608,-68
83111,-68
85527,-61
85787,-69
86030,-57
88069,-69
89583,-71
90702,-79
90958,-61
91250,-71
91469,-61
92557,-64
94327,-88
94574,-63
95423,-71
